"Reference","Qty","Value","Mouser","Radiospares","Farnell"
"C101,C104,C106,C109,C201,C206,C207,C208,C209,C210,C302,C304,C501","13","10µF_0805","963-TMK212BBJ106MG-T","184-3756",""
"C102,C103,C107,C108,C204,C211,C212,C213,C214,C301,C303,C404,C408,C411,C502,C504,C506,C507,C601,C603","20","100nF_0603","963-UMK107B7104KAHT","184-3685",""
"C105","1","15nF_0603","710-885012206090","839-2969",""
"C110,C402","2","4.7nF_50V_0603","80-C0603C472K5R","264-4589",""
"C202,C203,C205","3","2.2µF_0603","963-UMK107BBJ225KA-T","103-4115",""
"C401","1","220nF_0603","963-UMK107B7224KAHT","788-2997",""
"C405","1","68nF_0603","710-885012206094","839-2978",""
"C503,C505,C510,C602,C604,C605,C606,C607,C608,C609,C610","11","1µF_0603","963-UMK107BJ105KA-T","103-4112",""
"C508,C611","2","4.7µF_0805","81-GRM21BR61H475KE1L","113-8707",""
"C509","1","10nF_50V_0603","","",""
"D101,D604,D605,D606","4","SS2040FL_SOD123F","241-SS2040FLAUR100A1","",""
"D102,D103,D301,D501,D502","5","BAT54J_SOD323F","771-BAT54J115","",""
"D203","1","APA2107LZGCK","604-APA2107LZGCK","",""
"D402,D601","2","BAT54SW_SOT323","771-BAT54SW-T/R","380-1216",""
"EPD501","1","GDEY0213B74","","",""
"FB101,FB102,FB301,FB401,FB402,FB501,FB601","7","WE-CBF_742792031","710-742792031","669-4092",""
"J101","1","SSQ-108-01-G-S","200-SSQ10801GS","",""
"J102","1","SSQ-112-01-G-S","200-SSQ11201GS","",""
"J103,J104,J107","3","SLW-108-01-G-S"," 200-SLW10801GS","",""
"J105,J106,J108","3","HTSW-108-07-G-S","200-HTSW10807GS","",""
"J109,J110","2","HTSW-101-07-G-S","200-HTSW10107GS","",""
"J111,J112","2","SLW-101-01-G-S"," 200-SLW10101GS","",""
"J201","1","WR-DC-694108301002","710-694108301002","",""
"J202","1","USB4105-GF-A-120","640-USB4105-GF-A-120","",""
"J203","1","Keystone_1043P","534-1043","",""
"J204","1","S3B-PH-SM4-TB","306-S3BPHSM4TBLFSN","688-1357",""
"J301,J602","2","U.FL-R-SMT-1","798-U.FL-R-SMT-110","557-981",""
"J302","1","S2B-ZR-SM4A-TF","306-S2BZRSM4ATFLFSN","762-0875","1830920"
"J501","1","HTSW-103-07-G-S","200-HTSW10307GS","180-2117",""
"J601","1","FH34SRJ-24S-05SH","798-FH34SRJ24S05SH99","136-2403",""
"JP101,JP102,JP103","3","DNP 0603","","",""
"JP301","1","SolderJumper_2_Open","","",""
"JP601","1","SolderJumper_3_Bridged12","","",""
"L201","1","DFE252012F-1R0M","81-DFE252012F-1R0MP2","230-7900",""
"L601","1","PA4322.103NLT","673-PA4322.103NLT","",""
"Q101,Q201,Q501","3","BC846BW_SOT323","771-BC846BW-T/R","436-7931",""
"Q102,Q406","2","RZF020P01TL","755-RZF020P01TL","",""
"Q403,Q603","2","RTF025N03TL","755-RTF025N03TL","",""
"R101,R201,R204,R504","4","100K_0603","603-RC0603FR-07100KL","199-5439",""
"R102,R104,R105,R203,R205,R416,R417,R501,R604","9","10K_0603","603-RC0603FR-0710KL","199-5443",""
"R103,R411,R414","3","100R_0603","603-RC0603FR-07100RL","199-5441",""
"R106,R111","2","47K_0603","603-RC0603FR-0747KL","199-5581",""
"R107,R301,R402","3","1K_0603","603-RC0603FR-071KL","199-5479",""
"R108,R109,R110","3","470R_0603","","",""
"R202","1","2K2_0603","603-RC0603FR-072K2L","199-5518",""
"R401","1","75K_0603","603-RC0603FR-0775KL","199-5631",""
"R404","1","22R_0603","603-RC0603FR-0722RL","199-5504",""
"R415","1","17K8_0603","603-RC0603FR-0717K8L","122-9032",""
"R606","1","0R47_0805","71-RCWE0805R470FKEA","199-6016",""
"R607","1","R_DNP_0603","","",""
"REF1,REF2,REF3","3","Fiducial","","",""
"SW1,SW2,SW3","3","SKTDLDE010","688-SKTDLDE010","917-3839",""
"SW101","1","PCM13SMTR","611-PCM13SMTR ","",""
"TH201","1","NTC 10K 1% 0603","594-NTCS0603E3103FMT","684-1264",""
"U101","1","AP7361C-33E_SOT223","621-AP7361C-33E-13","",""
"U102","1","XC6206P332PR_SOT89","865-XC6206P332PR-G","",""
"U201","1","PI3USB102G","729-PI3USB102GZLEX","",""
"U202","1","MAX77757CEFG+","700-MAX77757JEFG420","",""
"U301","1","L86-M33","277-L86-M33","908-4114",""
"U401","1","SA868","","",""
"U501","1","ESP32-S3-WROOM-1U","356-ESP32S3WM1UN16R2","",""
"U502","1","LP2985-3.3","","",""
